model_runtime,lat,lon,datetime,pc4,advies,wind_bft,wind_ms,lki,final
18-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-18T12:00:00+02:00,3511,code_red,2,2.8,1,True
18-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-18T18:00:00+02:00,3511,code_yellow,2,2.8,1,False
18-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-19T00:00:00+02:00,3511,code_yellow,2,2.8,1,False
18-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-18T12:00:00+02:00,3511,code_red,2,2.7,1,True
18-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-18T18:00:00+02:00,3511,code_yellow,2,2.7,1,True
18-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-19T00:00:00+02:00,3511,code_yellow,2,2.7,1,False
18-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-19T06:00:00+02:00,3511,code_yellow,2,2.7,1,False
18-10-2025 16:00,52.089770561127374,5.109876746789877,2025-10-18T18:00:00+02:00,3511,code_yellow,3,3.5,1,True
18-10-2025 16:00,52.089770561127374,5.109876746789877,2025-10-19T00:00:00+02:00,3511,code_yellow,3,3.5,1,True
18-10-2025 16:00,52.089770561127374,5.109876746789877,2025-10-19T06:00:00+02:00,3511,code_yellow,3,3.5,1,False
18-10-2025 16:00,52.089770561127374,5.109876746789877,2025-10-19T12:00:00+02:00,3511,code_yellow,3,3.5,1,False
18-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-19T00:00:00+02:00,3511,code_yellow,3,3.9,1,True
18-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-19T06:00:00+02:00,3511,code_yellow,3,3.9,1,True
18-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-19T12:00:00+02:00,3511,code_yellow,3,3.9,1,False
18-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-19T18:00:00+02:00,3511,code_yellow,3,3.9,1,False
19-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-19T06:00:00+02:00,3511,code_yellow,3,4.4,1,True
19-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-19T12:00:00+02:00,3511,code_yellow,3,4.4,1,True
19-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-19T18:00:00+02:00,3511,code_yellow,3,4.4,1,False
19-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-20T00:00:00+02:00,3511,code_yellow,3,4.4,1,False
19-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-19T12:00:00+02:00,3511,code_yellow,3,4.3,1,True
19-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-19T18:00:00+02:00,3511,code_yellow,3,4.3,1,True
19-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-20T00:00:00+02:00,3511,code_yellow,3,4.3,1,False
19-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-20T06:00:00+02:00,3511,code_yellow,3,4.3,1,False
19-10-2025 16:00,52.089770561127374,5.109876746789877,2025-10-19T18:00:00+02:00,3511,code_yellow,3,5.1,2,True
19-10-2025 16:00,52.089770561127374,5.109876746789877,2025-10-20T00:00:00+02:00,3511,code_yellow,3,5.1,2,True
19-10-2025 16:00,52.089770561127374,5.109876746789877,2025-10-20T06:00:00+02:00,3511,code_yellow,3,5.1,2,False
19-10-2025 16:00,52.089770561127374,5.109876746789877,2025-10-20T12:00:00+02:00,3511,code_yellow,3,5.1,2,False
19-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-20T00:00:00+02:00,3511,code_yellow,3,5.3,2,True
19-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-20T06:00:00+02:00,3511,code_yellow,3,5.3,2,True
19-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-20T12:00:00+02:00,3511,code_yellow,3,5.3,2,False
19-10-2025 22:00,52.089770561127374,5.109876746789877,2025-10-20T18:00:00+02:00,3511,code_yellow,3,5.3,2,False
20-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-20T06:00:00+02:00,3511,code_yellow,3,4.6,1,True
20-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-20T12:00:00+02:00,3511,code_yellow,3,4.6,1,True
20-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-20T18:00:00+02:00,3511,code_yellow,3,4.6,1,False
20-10-2025 04:00,52.089770561127374,5.109876746789877,2025-10-21T00:00:00+02:00,3511,code_yellow,3,4.6,1,False
20-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-20T12:00:00+02:00,3511,code_yellow,3,4.6,1,True
20-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-20T18:00:00+02:00,3511,code_yellow,3,4.6,1,True
20-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-21T00:00:00+02:00,3511,code_yellow,3,4.6,1,False
20-10-2025 10:00,52.089770561127374,5.109876746789877,2025-10-21T06:00:00+02:00,3511,code_yellow,3,4.6,1,False
